Found path: /home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis.x86_64
Mono path[0] = '/home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis_Data/Managed'
Mono config path = '/home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis_Data/MonoBleedingEdge/etc'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	libgrpc_csharp_ext.x86.so
Logging to /home/bobo258/.config/unity3d/Unity Technologies/Unity Environment/Player.log
Number of agents: 2
Size of each action: 2
There are 2 agents. Each observes a state with length: 24
The state for the first agent looks like: [ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -6.65278625 -1.5
 -0.          0.          6.83172083  6.         -0.          0.        ]
[112] Average Score: 0.0020 Cur: 0.0000
[113] Average Score: 0.0020 Cur: 0.0000
[114] Average Score: 0.0020 Cur: 0.0000
[115] Average Score: 0.0020 Cur: 0.0000
[116] Average Score: 0.0020 Cur: 0.0000
[117] Average Score: 0.0020 Cur: 0.0000
[118] Average Score: 0.0020 Cur: 0.0000
[119] Average Score: 0.0020 Cur: 0.0000
[120] Average Score: 0.0020 Cur: 0.0000
[121] Average Score: 0.0020 Cur: 0.0000
[122] Average Score: 0.0010 Cur: 0.0000
[123] Average Score: 0.0010 Cur: 0.0000
[124] Average Score: 0.0010 Cur: 0.0000
[125] Average Score: 0.0010 Cur: 0.0000
[126] Average Score: 0.0010 Cur: 0.0000
[127] Average Score: 0.0010 Cur: 0.0000
[128] Average Score: 0.0010 Cur: 0.0000
[129] Average Score: 0.0010 Cur: 0.0000
[130] Average Score: 0.0010 Cur: 0.0000
[131] Average Score: 0.0010 Cur: 0.0000
[30] actor_loss: 0.0005504105938598514, critic_loss: 0.0003682284150272608
[30] actor_loss: -0.013290278613567352, critic_loss: 0.0004530187579803169
[132] Average Score: 0.0010 Cur: 0.0000
[133] Average Score: 0.0010 Cur: 0.0000
[134] Average Score: 0.0010 Cur: 0.0000
[135] Average Score: 0.0010 Cur: 0.0000
[136] Average Score: 0.0010 Cur: 0.0000
[137] Average Score: 0.0010 Cur: 0.0000
[138] Average Score: 0.0010 Cur: 0.0000
[139] Average Score: 0.0010 Cur: 0.0000
[140] Average Score: 0.0010 Cur: 0.0000
[141] Average Score: 0.0010 Cur: 0.0000
[142] Average Score: 0.0010 Cur: 0.0000
[143] Average Score: 0.0010 Cur: 0.0000
[144] Average Score: 0.0010 Cur: 0.0000
[145] Average Score: 0.0000 Cur: 0.0000
[146] Average Score: 0.0000 Cur: 0.0000
[147] Average Score: 0.0000 Cur: 0.0000
[148] Average Score: 0.0000 Cur: 0.0000
[149] Average Score: 0.0000 Cur: 0.0000
[150] Average Score: 0.0000 Cur: 0.0000
[151] Average Score: 0.0000 Cur: 0.0000
[152] Average Score: 0.0000 Cur: 0.0000
[153] Average Score: 0.0000 Cur: 0.0000
[154] Average Score: 0.0000 Cur: 0.0000
[155] Average Score: 0.0000 Cur: 0.0000
[156] Average Score: 0.0000 Cur: 0.0000
[157] Average Score: 0.0000 Cur: 0.0000
[158] Average Score: 0.0000 Cur: 0.0000
[159] Average Score: 0.0000 Cur: 0.0000
[160] Average Score: 0.0000 Cur: 0.0000
[40] actor_loss: 0.0005792764131911099, critic_loss: 0.0002123736048815772
[40] actor_loss: -0.02263646386563778, critic_loss: 0.00020362390205264091
[161] Average Score: 0.0000 Cur: 0.0000
[162] Average Score: 0.0000 Cur: 0.0000
[163] Average Score: 0.0000 Cur: 0.0000
[164] Average Score: 0.0000 Cur: 0.0000
[165] Average Score: 0.0000 Cur: 0.0000
[166] Average Score: 0.0000 Cur: 0.0000
[167] Average Score: 0.0000 Cur: 0.0000
[168] Average Score: 0.0000 Cur: 0.0000
[169] Average Score: 0.0000 Cur: 0.0000
[170] Average Score: 0.0000 Cur: 0.0000
[171] Average Score: 0.0000 Cur: 0.0000
[172] Average Score: 0.0000 Cur: 0.0000
[173] Average Score: 0.0000 Cur: 0.0000
[174] Average Score: 0.0000 Cur: 0.0000
[175] Average Score: 0.0000 Cur: 0.0000
[176] Average Score: 0.0000 Cur: 0.0000
[177] Average Score: 0.0000 Cur: 0.0000
[178] Average Score: 0.0000 Cur: 0.0000
[179] Average Score: 0.0000 Cur: 0.0000
[180] Average Score: 0.0000 Cur: 0.0000
[181] Average Score: 0.0000 Cur: 0.0000
[182] Average Score: 0.0000 Cur: 0.0000
[183] Average Score: 0.0000 Cur: 0.0000
[184] Average Score: 0.0000 Cur: 0.0000
[185] Average Score: 0.0000 Cur: 0.0000
[186] Average Score: 0.0000 Cur: 0.0000
[187] Average Score: 0.0000 Cur: 0.0000
[188] Average Score: 0.0000 Cur: 0.0000
[50] actor_loss: -0.0005672706174664199, critic_loss: 0.00019004137720912695
[50] actor_loss: -0.025811422616243362, critic_loss: 0.00015342928236350417
[189] Average Score: 0.0000 Cur: 0.0000
[190] Average Score: 0.0000 Cur: 0.0000
[191] Average Score: 0.0000 Cur: 0.0000
[192] Average Score: 0.0000 Cur: 0.0000
[193] Average Score: 0.0000 Cur: 0.0000
[194] Average Score: 0.0000 Cur: 0.0000
[195] Average Score: 0.0000 Cur: 0.0000
[196] Average Score: 0.0000 Cur: 0.0000
[197] Average Score: 0.0000 Cur: 0.0000
[198] Average Score: 0.0000 Cur: 0.0000
[199] Average Score: 0.0000 Cur: 0.0000
[200] Average Score: 0.0000 Cur: 0.0000
[201] Average Score: 0.0000 Cur: 0.0000
[202] Average Score: 0.0000 Cur: 0.0000
[203] Average Score: 0.0000 Cur: 0.0000
[204] Average Score: 0.0000 Cur: 0.0000
[205] Average Score: 0.0000 Cur: 0.0000
[206] Average Score: 0.0000 Cur: 0.0000
[207] Average Score: 0.0000 Cur: 0.0000
[208] Average Score: 0.0000 Cur: 0.0000
[209] Average Score: 0.0000 Cur: 0.0000
[210] Average Score: 0.0000 Cur: 0.0000
[211] Average Score: 0.0000 Cur: 0.0000
[212] Average Score: 0.0000 Cur: 0.0000
[213] Average Score: 0.0000 Cur: 0.0000
[214] Average Score: 0.0000 Cur: 0.0000
[215] Average Score: 0.0000 Cur: 0.0000
[216] Average Score: 0.0000 Cur: 0.0000
[60] actor_loss: -0.0004450385458767414, critic_loss: 0.0001488868147134781
[60] actor_loss: -0.03237822279334068, critic_loss: 0.0001370515237795189
[217] Average Score: 0.0000 Cur: 0.0000
[218] Average Score: 0.0000 Cur: 0.0000
[219] Average Score: 0.0000 Cur: 0.0000
[220] Average Score: 0.0000 Cur: 0.0000
[221] Average Score: 0.0000 Cur: 0.0000
[222] Average Score: 0.0000 Cur: 0.0000
[223] Average Score: 0.0000 Cur: 0.0000
[224] Average Score: 0.0000 Cur: 0.0000
[225] Average Score: 0.0000 Cur: 0.0000
[226] Average Score: 0.0000 Cur: 0.0000
[227] Average Score: 0.0000 Cur: 0.0000
[228] Average Score: 0.0000 Cur: 0.0000
[229] Average Score: 0.0000 Cur: 0.0000
[230] Average Score: 0.0000 Cur: 0.0000
[231] Average Score: 0.0000 Cur: 0.0000
[232] Average Score: 0.0000 Cur: 0.0000
[233] Average Score: 0.0000 Cur: 0.0000
[234] Average Score: 0.0000 Cur: 0.0000
[235] Average Score: 0.0000 Cur: 0.0000
[236] Average Score: 0.0000 Cur: 0.0000
[237] Average Score: 0.0000 Cur: 0.0000
[238] Average Score: 0.0000 Cur: 0.0000
[239] Average Score: 0.0000 Cur: 0.0000
[240] Average Score: 0.0000 Cur: 0.0000
[241] Average Score: 0.0000 Cur: 0.0000
[242] Average Score: 0.0000 Cur: 0.0000
[243] Average Score: 0.0000 Cur: 0.0000
[244] Average Score: 0.0000 Cur: 0.0000
[70] actor_loss: 0.0003490090020932257, critic_loss: 0.00015389306645374745
[70] actor_loss: -0.03729106858372688, critic_loss: 0.0001237542019225657
[245] Average Score: 0.0000 Cur: 0.0000
[246] Average Score: 0.0000 Cur: 0.0000
[247] Average Score: 0.0000 Cur: 0.0000
[248] Average Score: 0.0010 Cur: 0.1000
[249] Average Score: 0.0020 Cur: 0.1000
[250] Average Score: 0.0020 Cur: 0.0000
[251] Average Score: 0.0020 Cur: 0.0000
[252] Average Score: 0.0020 Cur: 0.0000
[253] Average Score: 0.0030 Cur: 0.1000
[254] Average Score: 0.0040 Cur: 0.1000
[255] Average Score: 0.0050 Cur: 0.1000
[256] Average Score: 0.0050 Cur: 0.0000
[257] Average Score: 0.0050 Cur: 0.0000
[258] Average Score: 0.0060 Cur: 0.1000
[80] actor_loss: 0.0006356954691000283, critic_loss: 0.00021619987091980875
[80] actor_loss: -0.04315493628382683, critic_loss: 0.0003064050688408315
[259] Average Score: 0.0060 Cur: 0.0000
[260] Average Score: 0.0060 Cur: 0.0000
[261] Average Score: 0.0069 Cur: 0.0900
[262] Average Score: 0.0069 Cur: 0.0000
[263] Average Score: 0.0079 Cur: 0.1000
[264] Average Score: 0.0079 Cur: 0.0000
[265] Average Score: 0.0079 Cur: 0.0000
[266] Average Score: 0.0088 Cur: 0.0900
[267] Average Score: 0.0098 Cur: 0.1000
[268] Average Score: 0.0098 Cur: 0.0000
[269] Average Score: 0.0108 Cur: 0.1000
[270] Average Score: 0.0108 Cur: 0.0000
[271] Average Score: 0.0108 Cur: 0.0000
[272] Average Score: 0.0117 Cur: 0.0900
[273] Average Score: 0.0117 Cur: 0.0000
[274] Average Score: 0.0117 Cur: 0.0000
[275] Average Score: 0.0127 Cur: 0.1000
[276] Average Score: 0.0127 Cur: 0.0000
[90] actor_loss: 0.0011239988962188363, critic_loss: 0.00013475185551214963
[90] actor_loss: -0.049938179552555084, critic_loss: 0.0004237807297613472
[277] Average Score: 0.0136 Cur: 0.0900
[278] Average Score: 0.0136 Cur: 0.0000
[279] Average Score: 0.0136 Cur: 0.0000
[280] Average Score: 0.0136 Cur: 0.0000
[281] Average Score: 0.0136 Cur: 0.0000
[282] Average Score: 0.0136 Cur: 0.0000
[283] Average Score: 0.0146 Cur: 0.1000
[284] Average Score: 0.0146 Cur: 0.0000
[285] Average Score: 0.0156 Cur: 0.1000
[286] Average Score: 0.0166 Cur: 0.1000
[287] Average Score: 0.0176 Cur: 0.1000
[288] Average Score: 0.0186 Cur: 0.1000
[289] Average Score: 0.0196 Cur: 0.1000
[290] Average Score: 0.0196 Cur: 0.0000
[291] Average Score: 0.0206 Cur: 0.1000
[100] actor_loss: 0.0020746239461004734, critic_loss: 0.00012539511953946203
[100] actor_loss: -0.05822993069887161, critic_loss: 0.00038448639679700136
[292] Average Score: 0.0206 Cur: 0.0000
[293] Average Score: 0.0206 Cur: 0.0000
[294] Average Score: 0.0206 Cur: 0.0000
[295] Average Score: 0.0206 Cur: 0.0000
[296] Average Score: 0.0206 Cur: 0.0000
[297] Average Score: 0.0206 Cur: 0.0000
[298] Average Score: 0.0206 Cur: 0.0000
[299] Average Score: 0.0206 Cur: 0.0000
[300] Average Score: 0.0206 Cur: 0.0000
[301] Average Score: 0.0206 Cur: 0.0000
[302] Average Score: 0.0206 Cur: 0.0000
[303] Average Score: 0.0206 Cur: 0.0000
[304] Average Score: 0.0206 Cur: 0.0000
[305] Average Score: 0.0206 Cur: 0.0000
[306] Average Score: 0.0206 Cur: 0.0000
[307] Average Score: 0.0206 Cur: 0.0000
[308] Average Score: 0.0206 Cur: 0.0000
[309] Average Score: 0.0206 Cur: 0.0000
[310] Average Score: 0.0206 Cur: 0.0000
[311] Average Score: 0.0206 Cur: 0.0000
[312] Average Score: 0.0206 Cur: 0.0000
[313] Average Score: 0.0206 Cur: 0.0000
[314] Average Score: 0.0206 Cur: 0.0000
[315] Average Score: 0.0206 Cur: 0.0000
[316] Average Score: 0.0206 Cur: 0.0000
[317] Average Score: 0.0206 Cur: 0.0000
[318] Average Score: 0.0206 Cur: 0.0000
[319] Average Score: 0.0206 Cur: 0.0000
[110] actor_loss: 0.0037204381078481674, critic_loss: 0.00011357350740581751
[110] actor_loss: -0.060560040175914764, critic_loss: 0.0004234055522829294
[320] Average Score: 0.0206 Cur: 0.0000
[321] Average Score: 0.0206 Cur: 0.0000
[322] Average Score: 0.0206 Cur: 0.0000
[323] Average Score: 0.0206 Cur: 0.0000
[324] Average Score: 0.0206 Cur: 0.0000
[325] Average Score: 0.0206 Cur: 0.0000
[326] Average Score: 0.0206 Cur: 0.0000
[327] Average Score: 0.0206 Cur: 0.0000
[328] Average Score: 0.0206 Cur: 0.0000
[329] Average Score: 0.0206 Cur: 0.0000
[330] Average Score: 0.0206 Cur: 0.0000
[331] Average Score: 0.0206 Cur: 0.0000
[332] Average Score: 0.0206 Cur: 0.0000
[333] Average Score: 0.0206 Cur: 0.0000
[334] Average Score: 0.0206 Cur: 0.0000
[335] Average Score: 0.0206 Cur: 0.0000
[336] Average Score: 0.0206 Cur: 0.0000
[337] Average Score: 0.0206 Cur: 0.0000
[338] Average Score: 0.0206 Cur: 0.0000
[339] Average Score: 0.0206 Cur: 0.0000
[340] Average Score: 0.0206 Cur: 0.0000
[341] Average Score: 0.0206 Cur: 0.0000
[342] Average Score: 0.0206 Cur: 0.0000
[343] Average Score: 0.0206 Cur: 0.0000
[344] Average Score: 0.0206 Cur: 0.0000
[345] Average Score: 0.0206 Cur: 0.0000
[346] Average Score: 0.0206 Cur: 0.0000
[347] Average Score: 0.0206 Cur: 0.0000
[120] actor_loss: 0.005150626879185438, critic_loss: 0.00015041462029330432
[120] actor_loss: -0.06174025684595108, critic_loss: 0.0004326258203946054
[348] Average Score: 0.0196 Cur: 0.0000
[349] Average Score: 0.0186 Cur: 0.0000
[350] Average Score: 0.0186 Cur: 0.0000
[351] Average Score: 0.0186 Cur: 0.0000
[352] Average Score: 0.0186 Cur: 0.0000
[353] Average Score: 0.0176 Cur: 0.0000
[354] Average Score: 0.0166 Cur: 0.0000
[355] Average Score: 0.0156 Cur: 0.0000
[356] Average Score: 0.0156 Cur: 0.0000
[357] Average Score: 0.0156 Cur: 0.0000
[358] Average Score: 0.0146 Cur: 0.0000
[359] Average Score: 0.0146 Cur: 0.0000
[360] Average Score: 0.0146 Cur: 0.0000
[361] Average Score: 0.0137 Cur: 0.0000
[362] Average Score: 0.0137 Cur: 0.0000
[363] Average Score: 0.0127 Cur: 0.0000
[364] Average Score: 0.0127 Cur: 0.0000
[365] Average Score: 0.0127 Cur: 0.0000
[366] Average Score: 0.0118 Cur: 0.0000
[367] Average Score: 0.0108 Cur: 0.0000
[368] Average Score: 0.0108 Cur: 0.0000
[369] Average Score: 0.0098 Cur: 0.0000
[370] Average Score: 0.0098 Cur: 0.0000
[371] Average Score: 0.0098 Cur: 0.0000
[372] Average Score: 0.0089 Cur: 0.0000
[373] Average Score: 0.0089 Cur: 0.0000
[374] Average Score: 0.0089 Cur: 0.0000
[375] Average Score: 0.0079 Cur: 0.0000
[130] actor_loss: 0.0062488289549946785, critic_loss: 0.00014542648568749428
[130] actor_loss: -0.06380783766508102, critic_loss: 0.0003089769743382931
[376] Average Score: 0.0079 Cur: 0.0000
[377] Average Score: 0.0070 Cur: 0.0000
[378] Average Score: 0.0070 Cur: 0.0000
[379] Average Score: 0.0070 Cur: 0.0000
[380] Average Score: 0.0070 Cur: 0.0000
[381] Average Score: 0.0070 Cur: 0.0000
[382] Average Score: 0.0070 Cur: 0.0000
[383] Average Score: 0.0060 Cur: 0.0000
[384] Average Score: 0.0060 Cur: 0.0000
[385] Average Score: 0.0050 Cur: 0.0000
[386] Average Score: 0.0040 Cur: 0.0000
[387] Average Score: 0.0030 Cur: 0.0000
[388] Average Score: 0.0020 Cur: 0.0000
[389] Average Score: 0.0010 Cur: 0.0000
[390] Average Score: 0.0010 Cur: 0.0000
[391] Average Score: 0.0000 Cur: 0.0000
[392] Average Score: 0.0000 Cur: 0.0000
[393] Average Score: 0.0000 Cur: 0.0000
[394] Average Score: 0.0000 Cur: 0.0000
[395] Average Score: 0.0000 Cur: 0.0000
[396] Average Score: 0.0000 Cur: 0.0000
[397] Average Score: 0.0000 Cur: 0.0000
[398] Average Score: 0.0000 Cur: 0.0000
[399] Average Score: 0.0000 Cur: 0.0000
[400] Average Score: 0.0000 Cur: 0.0000
[401] Average Score: 0.0000 Cur: 0.0000
[402] Average Score: 0.0000 Cur: 0.0000
[403] Average Score: 0.0000 Cur: 0.0000
[140] actor_loss: 0.008024309761822224, critic_loss: 0.00010050351556856185
[140] actor_loss: -0.06287344545125961, critic_loss: 0.0002674457791727036
[404] Average Score: 0.0000 Cur: 0.0000
[405] Average Score: 0.0000 Cur: 0.0000
[406] Average Score: 0.0000 Cur: 0.0000
[407] Average Score: 0.0000 Cur: 0.0000
[408] Average Score: 0.0000 Cur: 0.0000
[409] Average Score: 0.0000 Cur: 0.0000
[410] Average Score: 0.0000 Cur: 0.0000
[411] Average Score: 0.0000 Cur: 0.0000
[412] Average Score: 0.0000 Cur: 0.0000
[413] Average Score: 0.0000 Cur: 0.0000
[414] Average Score: 0.0000 Cur: 0.0000
[415] Average Score: 0.0000 Cur: 0.0000
[416] Average Score: 0.0000 Cur: 0.0000
[417] Average Score: 0.0000 Cur: 0.0000
[418] Average Score: 0.0000 Cur: 0.0000
[419] Average Score: 0.0000 Cur: 0.0000
[420] Average Score: 0.0000 Cur: 0.0000
[421] Average Score: 0.0000 Cur: 0.0000
[422] Average Score: 0.0000 Cur: 0.0000
[423] Average Score: 0.0000 Cur: 0.0000
[424] Average Score: 0.0000 Cur: 0.0000
[425] Average Score: 0.0000 Cur: 0.0000
[426] Average Score: 0.0000 Cur: 0.0000
[427] Average Score: 0.0000 Cur: 0.0000
[428] Average Score: 0.0000 Cur: 0.0000
[429] Average Score: 0.0000 Cur: 0.0000
[430] Average Score: 0.0000 Cur: 0.0000
[431] Average Score: 0.0000 Cur: 0.0000
[432] Average Score: 0.0000 Cur: 0.0000
[150] actor_loss: 0.00875305850058794, critic_loss: 9.515803685644642e-05
[150] actor_loss: -0.0646008551120758, critic_loss: 0.00024680461501702666
[433] Average Score: 0.0000 Cur: 0.0000
[434] Average Score: 0.0000 Cur: 0.0000
[435] Average Score: 0.0000 Cur: 0.0000
[436] Average Score: 0.0000 Cur: 0.0000
[437] Average Score: 0.0000 Cur: 0.0000
[438] Average Score: 0.0000 Cur: 0.0000
[439] Average Score: 0.0000 Cur: 0.0000
[440] Average Score: 0.0000 Cur: 0.0000
[441] Average Score: 0.0000 Cur: 0.0000
[442] Average Score: 0.0000 Cur: 0.0000
[443] Average Score: 0.0000 Cur: 0.0000
[444] Average Score: 0.0000 Cur: 0.0000
[445] Average Score: 0.0000 Cur: 0.0000
